name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;419;0;178;3074;939;3074;939;0
header;199;151;199;175;1829;175;1829;151
A;811;358;811;358;812;358;812;358
B;740;403;740;445;780;445;780;403
D;480;403;480;447;514;447;514;403
D;433;403;433;455;469;455;469;403
A;490;721;490;723;493;723;493;721
A;756;812;756;816;759;816;759;812
A;775;1305;775;1307;776;1307;776;1305
A;683;1770;683;1771;683;1771;683;1770
A;932;2331;932;2334;935;2334;935;2331
A;330;2467;330;2469;332;2469;332;2467
A;811;2508;811;2510;813;2510;813;2508
