name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;933;0;1072;3081;1885;3081;1874;0
header;277;119;277;155;1913;155;1913;119
A;1079;183;1079;211;1100;211;1100;183
A;1583;328;1583;333;1588;333;1588;328
D;1046;784;1046;803;1063;803;1063;784
B;1079;864;1079;893;1102;893;1102;864
C;1074;1537;1074;1564;1094;1564;1094;1537
A;1559;1613;1559;1618;1563;1618;1563;1613
A;1659;2073;1659;2079;1664;2079;1664;2073
D;1076;2187;1076;2213;1097;2213;1097;2187
A;1756;2351;1756;2355;1762;2355;1762;2351
A;1354;2667;1354;2673;1359;2673;1359;2667
A;1372;2724;1372;2734;1378;2734;1378;2724
